Annï¿½e;"Diesel  (g de CO2 / km)";"Total  (g de CO2 / km)";"Essence  (g de CO2 / km)"
1995;175,00;176,00;177,00
1996;175,00;175,00;175,00
1997;174,00;175,00;175,00
1998;169,00;171,00;172,00
1999;161,00;166,00;171,00
2000;155,00;162,00;168,00
2001;154,00;156,00;164,00
2002;152,00;155,00;164,00
2003;151,00;155,00;163,00
2004;149,00;153,00;162,00
2005;149,00;152,00;159,00
2006;147,00;149,00;155,00
2007;148,00;149,00;153,00
2008;139,00;140,00;141,00
2009;134,00;133,00;131,00
2010;130,00;130,00;130,00
2011;127,00;127,00;129,00
2012;123,00;124,00;127,00
2013;117,00;117,00;122,00
2014;114,00;114,00;119,00
2015;111,00;111,00;116,00
2016;109,00;110,00;116,00
2017;110,00;111,00;116,00
2018;112,00;112,00;116,00
2019;113,00;112,00;116,00